ETH-USD: {'trade_id': 215117593, 'price': '2611.85', 'size': '0.01095515', 'time': '2022-01-30T00:11:38.486Z', 'bid': '2612.04', 'ask': '2612.05', 'volume': '130560.00775979'} 
ETH-USD: {'trade_id': 215117620, 'price': '2611.55', 'size': '1.05065599', 'time': '2022-01-30T00:11:40.677902Z', 'bid': '2611.2', 'ask': '2611.53', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117629, 'price': '2611.7', 'size': '0.05076563', 'time': '2022-01-30T00:11:42.952523Z', 'bid': '2611.2', 'ask': '2611.52', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117652, 'price': '2611.99', 'size': '0.00114489', 'time': '2022-01-30T00:11:45.684891Z', 'bid': '2611.71', 'ask': '2611.97', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117656, 'price': '2611.85', 'size': '0.0549509', 'time': '2022-01-30T00:11:47.266088Z', 'bid': '2611.84', 'ask': '2611.85', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117664, 'price': '2611.84', 'size': '0.00022', 'time': '2022-01-30T00:11:49.643605Z', 'bid': '2611.84', 'ask': '2611.85', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117675, 'price': '2612.51', 'size': '0.28990594', 'time': '2022-01-30T00:11:52.102471Z', 'bid': '2612.75', 'ask': '2612.96', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117685, 'price': '2612.33', 'size': '0.20913995', 'time': '2022-01-30T00:11:54.74934Z', 'bid': '2612.16', 'ask': '2612.59', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117692, 'price': '2612.32', 'size': '0.28256439', 'time': '2022-01-30T00:11:56.642189Z', 'bid': '2612.4', 'ask': '2612.68', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117697, 'price': '2612.68', 'size': '0.23565795', 'time': '2022-01-30T00:11:58.67512Z', 'bid': '2612.67', 'ask': '2612.71', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117709, 'price': '2612.07', 'size': '0.2355547', 'time': '2022-01-30T00:12:00.91444Z', 'bid': '2612.14', 'ask': '2612.54', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117734, 'price': '2612.7', 'size': '0.001', 'time': '2022-01-30T00:12:02.564934Z', 'bid': '2612.28', 'ask': '2612.53', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117736, 'price': '2612.24', 'size': '0.01814018', 'time': '2022-01-30T00:12:05.413662Z', 'bid': '2612.24', 'ask': '2612.36', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117738, 'price': '2612.31', 'size': '0.00243442', 'time': '2022-01-30T00:12:06.131481Z', 'bid': '2612.24', 'ask': '2612.25', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117747, 'price': '2612.26', 'size': '0.19333255', 'time': '2022-01-30T00:12:08.11376Z', 'bid': '2612.24', 'ask': '2612.25', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117759, 'price': '2612.42', 'size': '0.2479127', 'time': '2022-01-30T00:12:11.665593Z', 'bid': '2612.43', 'ask': '2612.44', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117775, 'price': '2613.16', 'size': '0.001', 'time': '2022-01-30T00:12:14.00943Z', 'bid': '2613.16', 'ask': '2613.17', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117788, 'price': '2611.68', 'size': '0.19097022', 'time': '2022-01-30T00:12:16.022868Z', 'bid': '2611.5', 'ask': '2611.68', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117796, 'price': '2611.9', 'size': '0.01219158', 'time': '2022-01-30T00:12:17.803542Z', 'bid': '2611.31', 'ask': '2611.7', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215117800, 'price': '2611.67', 'size': '0.10072051', 'time': '2022-01-30T00:12:20.255125Z', 'bid': '2611.53', 'ask': '2611.67', 'volume': '130602.48599193'} 
ETH-USD: {'trade_id': 215119162, 'price': '2612.49', 'size': '0.05166475', 'time': '2022-01-30T00:16:33.613393Z', 'bid': '2612.51', 'ask': '2612.71', 'volume': '131148.7844346'} 
ETH-USD: {'trade_id': 215119169, 'price': '2612.4', 'size': '0.00039814', 'time': '2022-01-30T00:16:35.677927Z', 'bid': '2612.39', 'ask': '2612.4', 'volume': '131148.7844346'} 
ETH-USD: {'trade_id': 215119178, 'price': '2612.75', 'size': '0.0013', 'time': '2022-01-30T00:16:38.224964Z', 'bid': '2612.51', 'ask': '2612.64', 'volume': '131148.7844346'} 
ETH-USD: {'trade_id': 215119182, 'price': '2612.75', 'size': '0.00052659', 'time': '2022-01-30T00:16:40.030385Z', 'bid': '2612.52', 'ask': '2612.53', 'volume': '131240.237725'} 
